contig,synthCount,contigOrthoCount,contigLength,geneDensity,contigOrthoCount>2,geneDensity>=0.000003,maxValue>=40%contigOrthoCount,X,2L,2R,3L,3R,4,Y,allocation
tig00009564,6,5,437719,1.14229E-05,YES,YES,NO,0.1,1.966666667,0,0,0,0,0,2L
tig00004941,8,8,224385,3.5653E-05,YES,YES,NO,0.458333333,2,0,0,0,0,0,NALL
tig00003065,6,6,65780,9.12131E-05,YES,YES,NO,0,2,0,0,0,0,0,2L
tig00004732,5,5,393544,1.27051E-05,YES,YES,NO,0,2,0,0,0,0,0,2L
tig00005403,6,6,96576,6.21272E-05,YES,YES,NO,0,2,0,0,0,0,0,2L
tig00004587,8,8,150121,5.32903E-05,YES,YES,NO,0,2.069047619,0,0,0,0,0,2L
tig00009365,8,8,378845,2.11168E-05,YES,YES,NO,0,2.069047619,0,0,0,0,0,2L
tig00004168,6,5,831520,6.01308E-06,YES,YES,YES,0,2.25,0,0,0.25,0,0,2L
tig00009145,5,5,93979,5.32034E-05,YES,YES,YES,0,2.25,0,0,0,0,0,2L
tig00009426,7,7,732402,9.55759E-06,YES,YES,NO,0,2.261904762,0,0,0,0,0,2L
tig00005957,6,6,71349,8.40937E-05,YES,YES,YES,0,2.416666667,0,0,0,0,0,2L
tig00004811,11,9,287377,3.13177E-05,YES,YES,NO,0,2.458333333,0,0.125,0,0,0,2L
tig00009888,11,10,261352,3.82626E-05,YES,YES,NO,0,2.519607843,0,0.041666667,0,0,0,2L
tig00009380,204,17,2532927,6.7116E-06,YES,YES,NO,0.236428571,2.660174101,0,0,0.10621118,0,0,NALL
tig00004186,17,10,1851769,5.40024E-06,YES,YES,NO,0.066666667,2.694444444,0,0,0,0,0,2L
tig00009945,11,11,186648,5.89345E-05,YES,YES,NO,0,2.795238095,0,0,0,0,0,2L
tig00009708,10,8,987508,8.1012E-06,YES,YES,NO,0,2.833333333,0,0.5,0.2,0,0,2L
tig00005378,10,10,119817,8.34606E-05,YES,YES,NO,0,2.866666667,0,0.076923077,0,0,0,2L
tig00009042,8,8,2856331,2.8008E-06,YES,NO,NO,0.071428571,2.976190476,0,0,0,0,0,2L
tig00003381,14,11,1099025,1.00089E-05,YES,YES,NO,0.5,3,0,0.666666667,0.333333333,0,0,2L
tig00004677,10,10,487286,2.05218E-05,YES,YES,NO,0,3.333333333,0,0,0,0,0,2L
tig00005518,14,9,84236,0.000106843,YES,YES,NO,0,3.388888889,0,0.111111111,0,0,0,2L
tig00009437,54,22,1269380,1.73313E-05,YES,YES,NO,0.18597561,3.63597561,0,0.12195122,0.1,0,0,2L
tig00009791,7,5,403519,1.2391E-05,YES,YES,YES,0,3.75,0,0,0,0,0,2L
tig00004460,25,13,865196,1.50255E-05,YES,YES,NO,0.271428571,3.988914491,0,0.00921659,0.027777778,0,0,2L
tig00004652,12,10,431509,2.31745E-05,YES,YES,NO,0,4,0,0.5,0,0,0,2L
tig00003423,17,11,479225,2.29537E-05,YES,YES,YES,0.261904762,4.55952381,0,0,0,0,0,2L
tig00009133,13,12,1544229,7.77087E-06,YES,YES,YES,0,5.029131653,0,0,0,0,0,2L
tig00005048,5,4,166480,2.40269E-05,YES,YES,YES,2.166666667,0,0,0,0,0,0,X
tig00004239,14,14,1490096,9.39537E-06,YES,YES,NO,0,5.366666667,0,0,0,0,0,2L
tig00009652,18,16,3386993,4.72395E-06,YES,YES,YES,0.083333333,6.666666667,0,0,0,0,0,2L
